timestamp,load
2024-01-01 00:00:00,59.64
2024-01-01 01:00:00,60.633
2024-01-01 02:00:00,63.169
2024-01-01 03:00:00,68.762
2024-01-01 04:00:00,71.211
2024-01-01 05:00:00,72.989
2024-01-01 06:00:00,83.116
2024-01-01 07:00:00,87.166
2024-01-01 08:00:00,92.485
2024-01-01 09:00:00,97.825
2024-01-01 10:00:00,101.655
2024-01-01 11:00:00,106.336
2024-01-01 12:00:00,106.1
2024-01-01 13:00:00,104.397
2024-01-01 14:00:00,100.615
2024-01-01 15:00:00,97.076
2024-01-01 16:00:00,96.409
2024-01-01 17:00:00,94.562
2024-01-01 18:00:00,86.519
2024-01-01 19:00:00,81.271
2024-01-01 20:00:00,78.331
2024-01-01 21:00:00,69.505
2024-01-01 22:00:00,69.449
2024-01-01 23:00:00,69.717
2024-01-02 00:00:00,70.242
2024-01-02 01:00:00,68.376
2024-01-02 02:00:00,72.143
2024-01-02 03:00:00,75.216
2024-01-02 04:00:00,80.896
2024-01-02 05:00:00,81.172
2024-01-02 06:00:00,90.73
2024-01-02 07:00:00,90.866
2024-01-02 08:00:00,93.079
2024-01-02 09:00:00,102.394
2024-01-02 10:00:00,104.927
2024-01-02 11:00:00,111.518
2024-01-02 12:00:00,111.77
2024-01-02 13:00:00,106.466
2024-01-02 14:00:00,109.707
2024-01-02 15:00:00,101.964
2024-01-02 16:00:00,100.156
2024-01-02 17:00:00,94.845
2024-01-02 18:00:00,90.706
2024-01-02 19:00:00,87.293
2024-01-02 20:00:00,82.008
2024-01-02 21:00:00,77.12
2024-01-02 22:00:00,74.653
2024-01-02 23:00:00,72.173
2024-01-03 00:00:00,68.662
2024-01-03 01:00:00,69.037
2024-01-03 02:00:00,71.56
2024-01-03 03:00:00,77.055
2024-01-03 04:00:00,79.203
2024-01-03 05:00:00,90.359
2024-01-03 06:00:00,87.501
2024-01-03 07:00:00,91.82
2024-01-03 08:00:00,101.141
2024-01-03 09:00:00,106.734
2024-01-03 10:00:00,107.427
2024-01-03 11:00:00,110.044
2024-01-03 12:00:00,111.984
2024-01-03 13:00:00,107.273
2024-01-03 14:00:00,101.714
2024-01-03 15:00:00,100.513
2024-01-03 16:00:00,99.824
2024-01-03 17:00:00,88.74
2024-01-03 18:00:00,86.979
2024-01-03 19:00:00,82.065
2024-01-03 20:00:00,75.524
2024-01-03 21:00:00,73.677
2024-01-03 22:00:00,69.831
2024-01-03 23:00:00,71.868
2024-01-04 00:00:00,66.609
2024-01-04 01:00:00,63.887
2024-01-04 02:00:00,65.668
2024-01-04 03:00:00,67.832
2024-01-04 04:00:00,76.088
2024-01-04 05:00:00,76.765
2024-01-04 06:00:00,82.83
2024-01-04 07:00:00,89.699
